시도,연도,월,사용량(kWh),전기요금(원),평균단가(원/kWh)
11,2020,06,1135016306,124221044153,109.4
11,2020,07,1217456430,130444022697,107.1
11,2020,08,1411611643,155152238181,109.9
11,2021,06,1127819486,118440986106,105.0
11,2021,07,1391209916,161420259249,116.0
11,2021,08,1844125479,242649572167,131.6
11,2022,06,1110162000,128413378764,115.7
11,2022,07,1432848729,188194253474,131.3
11,2022,08,1696495940,229609270346,135.3
11,2023,06,1134258471,169313402076,149.3
11,2023,07,1395523231,218668785649,156.7
11,2023,08,1768820892,294575723318,166.5
11,2024,06,1153411787,175033332076,151.8
11,2024,07,1420691836,223590360269,157.4
11,2024,08,1912010200,331881372840,173.6
26,2020,06,383410345,39529199916,103.1
26,2020,07,392057995,38126664774,97.2
26,2020,08,490479776,51290786905,104.6
26,2021,06,389611098,39055359376,100.2
26,2021,07,435379029,44347601382,101.9
26,2021,08,577673685,66844000738,115.7
26,2022,06,386864937,42711102239,110.4
26,2022,07,476193673,58129963480,122.1
26,2022,08,581878677,74494665358,128.0
26,2023,06,397485280,56700126284,142.6
26,2023,07,449167246,65018114818,144.8
26,2023,08,605983897,95755995992,158.0
26,2024,06,400049649,57785800086,144.4
26,2024,07,468757867,69004866813,147.2
26,2024,08,669065464,111235696888,166.3
27,2020,06,278779977,28760260190,103.2
27,2020,07,286268436,27977148841,97.7
27,2020,08,344069320,34629520007,100.6
27,2021,06,276081648,27100425807,98.2
27,2021,07,305971534,30267088782,98.9
27,2021,08,405875524,45115116197,111.2
27,2022,06,283395790,31506897573,111.2
27,2022,07,368064227,46885558640,127.4
27,2022,08,419657252,52826933797,125.9
27,2023,06,284985127,40486318232,142.1
27,2023,07,334212834,48864857501,146.2
27,2023,08,438480998,68336581849,155.8
27,2024,06,296066895,42982118706,145.2
27,2024,07,360971461,54439732626,150.8
27,2024,08,493676316,81492123059,165.1
28,2020,06,342191422,36658233746,107.1
28,2020,07,356930191,36427511579,102.1
28,2020,08,428952403,45861092491,106.9
28,2021,06,349559481,36303136410,103.9
28,2021,07,420911665,47123270488,112.0
28,2021,08,566349753,72031297122,127.2
28,2022,06,353939103,40616320232,114.8
28,2022,07,451557450,57758980977,127.9
28,2022,08,541047218,71475488002,132.1
28,2023,06,372810384,55045783605,147.7
28,2023,07,452186810,69494635574,153.7
28,2023,08,584226237,96040443830,164.4
28,2024,06,385208590,57818378990,150.1
28,2024,07,468766363,72464089780,154.6
28,2024,08,652907539,112604703835,172.5
29,2020,06,171055535,17503908540,102.3
29,2020,07,177193314,17154286820,96.8
29,2020,08,216908363,21797482079,100.5
29,2021,06,172340558,17080314677,99.1
29,2021,07,194781115,19607188124,100.7
29,2021,08,258512577,29189720148,112.9
29,2022,06,171200654,18916391586,110.5
