지점,지점명,일시,평균기온(°C),최고기온(°C),평균상대습도(%)
90,속초,2020-06,22.2,33.2,74
90,속초,2020-07,21.6,33.3,85
90,속초,2020-08,25.7,35.1,82
90,속초,2020-09,20.1,28.7,75
90,속초,2020-10,14.3,23.7,60
90,속초,2020-11,10,23.1,47
90,속초,2020-12,1.8,11.2,35
90,속초,2021-01,-1.2,9.7,43
90,속초,2021-02,3.1,17.8,51
90,속초,2021-03,8,18.9,64
90,속초,2021-04,12.3,23.8,61
90,속초,2021-05,16.7,29.8,63
90,속초,2021-06,20.3,30,81
90,속초,2021-07,25.5,33.2,85
90,속초,2021-08,24.4,33.8,80
90,속초,2021-09,20.9,28.8,80
90,속초,2021-10,15.5,27.5,69
90,속초,2021-11,9.9,20.1,50
90,속초,2021-12,2.8,13.9,47
90,속초,2022-01,-.6,7.8,48
90,속초,2022-02,.3,12.7,40
90,속초,2022-03,7.1,21,61
90,속초,2022-04,14.2,29.8,55
90,속초,2022-05,18.5,33.5,54
90,속초,2022-06,20.9,34.6,79
90,속초,2022-07,24.3,33.4,88
90,속초,2022-08,24.6,35.5,81
90,속초,2022-09,20.3,29.2,76
90,속초,2022-10,13.9,29.9,70
90,속초,2022-11,11,22.3,55
90,속초,2022-12,-.2,11.6,35
90,속초,2023-01,.2,15.1,45
90,속초,2023-02,2.7,15.6,53
90,속초,2023-03,9.3,25.4,54
90,속초,2023-04,12.6,26.9,61
90,속초,2023-05,17,34.4,67
90,속초,2023-06,21.9,34.3,74
90,속초,2023-07,25.8,35.1,79
90,속초,2023-08,24.7,36.6,85
90,속초,2023-09,21.7,30.6,81
90,속초,2023-10,16.4,25.5,59
90,속초,2023-11,8.8,27.5,48
90,속초,2023-12,2.3,19,56
90,속초,2024-01,.6,11.1,53
90,속초,2024-02,1.9,18.1,75
90,속초,2024-03,5.7,20.6,58
90,속초,2024-04,13.9,27.1,66
90,속초,2024-05,17.8,33.2,61
90,속초,2024-06,22.3,34.2,74
90,속초,2024-07,26.8,36.5,75
90,속초,2024-08,27.6,36.6,79
